StreetName,Suburb,LATITUDE,LONGITUDE
Hawke Street,West Melbourne,-37.80779093,144.9464328
Hawke Street,West Melbourne,-37.80782203,144.9463993
Hawke Street,West Melbourne,-37.80784967,144.9463695
Hawke Street,West Melbourne,-37.8078773,144.9463396
Hawke Street,West Melbourne,-37.80790494,144.9463098
Hawke Street,West Melbourne,-37.80793258,144.9462799
Roden Street,West Melbourne,-37.80789822,144.9474152
Roden Street,West Melbourne,-37.80792978,144.9473732
Roden Street,West Melbourne,-37.80796134,144.9473311
Roden Street,West Melbourne,-37.80798949,144.9472936
Roden Street,West Melbourne,-37.80801422,144.9472607
Roden Street,West Melbourne,-37.80803924,144.9472274
Roden Street,West Melbourne,-37.80806454,144.9471937
Roden Street,West Melbourne,-37.80808984,144.94716
Roden Street,West Melbourne,-37.80811806,144.9471224
Roden Street,West Melbourne,-37.80814919,144.9470809
Roden Street,West Melbourne,-37.80818032,144.9470395
Roden Street,West Melbourne,-37.80821204,144.9469972
Spencer Street,West Melbourne,-37.80778912,144.9470586
Roden Street,West Melbourne,-37.80824386,144.9469549
Roden Street,West Melbourne,-37.80827519,144.9469131
Little Collins Street,Melbourne,-37.81386206,144.9681217
Little Collins Street,Melbourne,-37.81387315,144.9680837
Little Collins Street,Melbourne,-37.81388424,144.9680457
Little Collins Street,Melbourne,-37.81389533,144.9680076
Little Collins Street,Melbourne,-37.81390642,144.9679696
Little Collins Street,Melbourne,-37.81391752,144.9679316
Little Collins Street,Melbourne,-37.81392861,144.9678935
Little Collins Street,Melbourne,-37.8139397,144.9678555
Little Collins Street,Melbourne,-37.81395079,144.9678175
Little Collins Street,Melbourne,-37.81396188,144.9677794
Little Collins Street,Melbourne,-37.81397297,144.9677414
Little Collins Street,Melbourne,-37.81398559,144.9676981
Little Collins Street,Melbourne,-37.81399975,144.9676496
Little Collins Street,Melbourne,-37.8140139,144.9676011
Brunton Avenue,East Melbourne,-37.82060847,144.9826961
Little Bourke Street,Melbourne,-37.8154951,144.9548075
Little Bourke Street,Melbourne,-37.8155131,144.9547446
Little Bourke Street,Melbourne,-37.81552665,144.9546972
Little Bourke Street,Melbourne,-37.81553574,144.9546654
Little Bourke Street,Melbourne,-37.81554483,144.9546336
Little Bourke Street,Melbourne,-37.81555392,144.9546018
Lonsdale Street,Melbourne,-37.81395642,144.9559632
Lonsdale Street,Melbourne,-37.81397471,144.9558997
Lonsdale Street,Melbourne,-37.81398917,144.9558495
Lonsdale Street,Melbourne,-37.8139998,144.9558126
Lonsdale Street,Melbourne,-37.81401302,144.9557667
Lonsdale Street,Melbourne,-37.81402884,144.9557118
Lonsdale Street,Melbourne,-37.81404465,144.9556569
George Street,East Melbourne,-37.81498587,144.9838207
Wellington Parade South,East Melbourne,-37.81681732,144.9812378
Wellington Parade South,East Melbourne,-37.81681127,144.9811825
Wellington Parade South,East Melbourne,-37.81680523,144.9811271
Wellington Parade South,East Melbourne,-37.81679918,144.9810717
Wellington Parade South,East Melbourne,-37.81679313,144.9810164
Wellington Parade South,East Melbourne,-37.81678709,144.980961
Wellington Parade South,East Melbourne,-37.81678104,144.9809056
Wellington Parade South,East Melbourne,-37.81677499,144.9808502
Wellington Parade South,East Melbourne,-37.81676895,144.9807949
Wellington Parade South,East Melbourne,-37.8167634,144.9807441
Wellington Parade South,East Melbourne,-37.81675836,144.9806979
Wellington Parade South,East Melbourne,-37.81675331,144.9806517
Wellington Parade South,East Melbourne,-37.81674827,144.9806055
Macaulay Road,North Melbourne,-37.79522093,144.9378464
Macaulay Road,North Melbourne,-37.79521502,144.9377936
Macaulay Road,North Melbourne,-37.79520911,144.9377407
Macaulay Road,North Melbourne,-37.7952032,144.9376879
Macaulay Road,North Melbourne,-37.79519729,144.9376351
Macaulay Road,North Melbourne,-37.79519138,144.9375823
Macaulay Road,North Melbourne,-37.79518547,144.9375295
Macaulay Road,North Melbourne,-37.79517956,144.9374766
Macaulay Road,North Melbourne,-37.79517365,144.9374238
Macaulay Road,North Melbourne,-37.79516774,144.937371
Macaulay Road,North Melbourne,-37.79516183,144.9373182
Macaulay Road,North Melbourne,-37.79515592,144.9372653
Macaulay Road,North Melbourne,-37.79515001,144.9372125
Macaulay Road,North Melbourne,-37.7951441,144.9371597
Macaulay Road,North Melbourne,-37.79513819,144.9371069
Macaulay Road,North Melbourne,-37.79504078,144.9362362
Macaulay Road,North Melbourne,-37.79503376,144.9361735
Macaulay Road,North Melbourne,-37.79502675,144.9361108
Macaulay Road,North Melbourne,-37.79501973,144.936048
Macaulay Road,North Melbourne,-37.79501272,144.9359853
Macaulay Road,North Melbourne,-37.7950057,144.9359226
Macaulay Road,North Melbourne,-37.7949982,144.9358555
Macaulay Road,North Melbourne,-37.79499021,144.935784
Macaulay Road,Kensington,-37.79496837,144.9355887
Macaulay Road,Kensington,-37.79496512,144.9355596
Macaulay Road,Kensington,-37.79496138,144.9355262
Macaulay Road,Kensington,-37.79495825,144.9354982
Macaulay Road,Kensington,-37.7948901,144.9352013
Macaulay Road,Kensington,-37.79488509,144.9351566
Bendall Street,Kensington,-37.78962633,144.9238067
Bendall Street,Kensington,-37.78965972,144.9237934
Bendall Street,Kensington,-37.78969229,144.9237785
Bendall Street,Kensington,-37.78971422,144.9237441
Bendall Street,Kensington,-37.78973616,144.9237097
Epsom Road,Kensington,-37.7932379,144.9269952
Epsom Road,Kensington,-37.79318398,144.9269432
Epsom Road,Kensington,-37.79313006,144.9268912
Epsom Road,Kensington,-37.79307614,144.9268393
Epsom Road,Kensington,-37.79302222,144.9267873
Epsom Road,Kensington,-37.7929683,144.9267353
